 
****************************************
Report : cell
Design : mem_system
Version: Q-2019.12-SP3
Date   : Sun Apr 25 16:03:03 2021
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    p - parameterized
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
RD_ff                     dff_254                         11.732500 h, n
U297                      INVX4           gscl45nm        3.285100  
U298                      OR2X2           gscl45nm        2.815800  
U299                      AND2X2          gscl45nm        2.815800  
U300                      AND2X2          gscl45nm        2.815800  
U301                      AND2X2          gscl45nm        2.815800  
U302                      AND2X1          gscl45nm        2.346500  
U303                      AND2X1          gscl45nm        2.346500  
U304                      INVX2           gscl45nm        1.877200  
U305                      OR2X1           gscl45nm        2.346500  
U306                      OR2X1           gscl45nm        2.346500  
U307                      OR2X2           gscl45nm        2.815800  
U308                      INVX1           gscl45nm        1.407900  
U309                      AND2X2          gscl45nm        2.815800  
U310                      OR2X1           gscl45nm        2.346500  
U311                      OR2X1           gscl45nm        2.346500  
U312                      NAND2X1         gscl45nm        1.877200  
U313                      INVX4           gscl45nm        3.285100  
U314                      INVX2           gscl45nm        1.877200  
U315                      INVX1           gscl45nm        1.407900  
U316                      INVX1           gscl45nm        1.407900  
U317                      INVX1           gscl45nm        1.407900  
U318                      INVX1           gscl45nm        1.407900  
U319                      OR2X2           gscl45nm        2.815800  
U320                      INVX1           gscl45nm        1.407900  
U321                      BUFX2           gscl45nm        2.346500  
U322                      INVX2           gscl45nm        1.877200  
U323                      INVX1           gscl45nm        1.407900  
U324                      INVX1           gscl45nm        1.407900  
U325                      MUX2X1          gscl45nm        3.754400  
U326                      INVX1           gscl45nm        1.407900  
U327                      BUFX2           gscl45nm        2.346500  
U328                      AND2X1          gscl45nm        2.346500  
U329                      INVX1           gscl45nm        1.407900  
U330                      AND2X1          gscl45nm        2.346500  
U331                      INVX1           gscl45nm        1.407900  
U332                      AND2X1          gscl45nm        2.346500  
U333                      INVX1           gscl45nm        1.407900  
U334                      AND2X1          gscl45nm        2.346500  
U335                      INVX1           gscl45nm        1.407900  
U336                      AND2X1          gscl45nm        2.346500  
U337                      INVX1           gscl45nm        1.407900  
U338                      BUFX2           gscl45nm        2.346500  
U339                      BUFX2           gscl45nm        2.346500  
U340                      INVX1           gscl45nm        1.407900  
U341                      INVX1           gscl45nm        1.407900  
U342                      INVX1           gscl45nm        1.407900  
U343                      BUFX2           gscl45nm        2.346500  
U344                      AND2X2          gscl45nm        2.815800  
U345                      INVX1           gscl45nm        1.407900  
U346                      AND2X2          gscl45nm        2.815800  
U347                      INVX1           gscl45nm        1.407900  
U348                      AND2X2          gscl45nm        2.815800  
U349                      INVX1           gscl45nm        1.407900  
U350                      OR2X2           gscl45nm        2.815800  
U351                      AND2X2          gscl45nm        2.815800  
U352                      INVX1           gscl45nm        1.407900  
U353                      INVX1           gscl45nm        1.407900  
U354                      INVX1           gscl45nm        1.407900  
U355                      INVX1           gscl45nm        1.407900  
U356                      INVX1           gscl45nm        1.407900  
U357                      INVX1           gscl45nm        1.407900  
U358                      INVX1           gscl45nm        1.407900  
U359                      INVX1           gscl45nm        1.407900  
U360                      AND2X1          gscl45nm        2.346500  
U361                      INVX1           gscl45nm        1.407900  
U362                      AND2X1          gscl45nm        2.346500  
U363                      INVX1           gscl45nm        1.407900  
U364                      AND2X1          gscl45nm        2.346500  
U365                      INVX1           gscl45nm        1.407900  
U366                      AND2X1          gscl45nm        2.346500  
U367                      INVX1           gscl45nm        1.407900  
U368                      AND2X1          gscl45nm        2.346500  
U369                      INVX1           gscl45nm        1.407900  
U370                      AND2X1          gscl45nm        2.346500  
U371                      INVX1           gscl45nm        1.407900  
U372                      AND2X1          gscl45nm        2.346500  
U373                      INVX1           gscl45nm        1.407900  
U374                      AND2X1          gscl45nm        2.346500  
U375                      INVX1           gscl45nm        1.407900  
U376                      AND2X1          gscl45nm        2.346500  
U377                      INVX1           gscl45nm        1.407900  
U378                      AND2X1          gscl45nm        2.346500  
U379                      INVX1           gscl45nm        1.407900  
U380                      AND2X1          gscl45nm        2.346500  
U381                      INVX1           gscl45nm        1.407900  
U382                      AND2X1          gscl45nm        2.346500  
U383                      INVX1           gscl45nm        1.407900  
U384                      AND2X1          gscl45nm        2.346500  
U385                      INVX1           gscl45nm        1.407900  
U386                      AND2X1          gscl45nm        2.346500  
U387                      INVX1           gscl45nm        1.407900  
U388                      AND2X1          gscl45nm        2.346500  
U389                      INVX1           gscl45nm        1.407900  
U390                      AND2X1          gscl45nm        2.346500  
U391                      INVX1           gscl45nm        1.407900  
U392                      OR2X1           gscl45nm        2.346500  
U393                      INVX1           gscl45nm        1.407900  
U394                      BUFX2           gscl45nm        2.346500  
U395                      AND2X2          gscl45nm        2.815800  
U396                      INVX1           gscl45nm        1.407900  
U397                      BUFX2           gscl45nm        2.346500  
U398                      OR2X1           gscl45nm        2.346500  
U399                      INVX1           gscl45nm        1.407900  
U400                      INVX1           gscl45nm        1.407900  
U401                      INVX1           gscl45nm        1.407900  
U402                      AND2X2          gscl45nm        2.815800  
U403                      INVX1           gscl45nm        1.407900  
U404                      INVX1           gscl45nm        1.407900  
U405                      INVX1           gscl45nm        1.407900  
U406                      AND2X1          gscl45nm        2.346500  
U407                      INVX1           gscl45nm        1.407900  
U408                      AND2X1          gscl45nm        2.346500  
U409                      INVX1           gscl45nm        1.407900  
U410                      INVX1           gscl45nm        1.407900  
U411                      INVX1           gscl45nm        1.407900  
U412                      INVX1           gscl45nm        1.407900  
U413                      BUFX2           gscl45nm        2.346500  
U414                      BUFX2           gscl45nm        2.346500  
U415                      AND2X2          gscl45nm        2.815800  
U416                      INVX1           gscl45nm        1.407900  
U417                      AND2X2          gscl45nm        2.815800  
U418                      INVX1           gscl45nm        1.407900  
U419                      AND2X2          gscl45nm        2.815800  
U420                      INVX1           gscl45nm        1.407900  
U421                      AND2X2          gscl45nm        2.815800  
U422                      INVX1           gscl45nm        1.407900  
U423                      AND2X2          gscl45nm        2.815800  
U424                      INVX1           gscl45nm        1.407900  
U425                      AND2X2          gscl45nm        2.815800  
U426                      INVX1           gscl45nm        1.407900  
U427                      INVX1           gscl45nm        1.407900  
U428                      BUFX2           gscl45nm        2.346500  
U429                      BUFX2           gscl45nm        2.346500  
U430                      NAND2X1         gscl45nm        1.877200  
U431                      INVX1           gscl45nm        1.407900  
U432                      INVX1           gscl45nm        1.407900  
U433                      INVX1           gscl45nm        1.407900  
U434                      INVX1           gscl45nm        1.407900  
U435                      BUFX2           gscl45nm        2.346500  
U436                      BUFX2           gscl45nm        2.346500  
U437                      INVX1           gscl45nm        1.407900  
U438                      BUFX2           gscl45nm        2.346500  
U439                      INVX1           gscl45nm        1.407900  
U440                      INVX1           gscl45nm        1.407900  
U441                      INVX1           gscl45nm        1.407900  
U442                      INVX1           gscl45nm        1.407900  
